Label,Cancer code,Country code (ISO/UN),Alphaâ€‘3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,152,N.A.,0,0,1.15,1.81,,349
"Lip, oral cavity",1,152,N.A.,0,1,0.44,0.78,,151
Salivary glands,2,152,N.A.,0,0,0.37,0.61,,118
Salivary glands,2,152,N.A.,0,1,0.14,0.25,,49
Oropharynx,3,152,N.A.,0,0,0.41,0.64,,124
Oropharynx,3,152,N.A.,0,1,0.2,0.34,,66
Nasopharynx,4,152,N.A.,0,0,0.09,0.14,,27
Nasopharynx,4,152,N.A.,0,1,0.06,0.1,,20
Hypopharynx,5,152,N.A.,0,0,0.19,0.33,,64
Hypopharynx,5,152,N.A.,0,1,0.08,0.17,,32
Oesophagus,6,152,N.A.,0,0,2.2,4.38,,844
Oesophagus,6,152,N.A.,0,1,1.93,3.94,,759
Stomach,7,152,N.A.,0,0,14.18,25.74,,4955
Stomach,7,152,N.A.,0,1,11.06,20.38,,3924
Colorectum,41,152,N.A.,0,0,20.27,35.21,,6778
Colorectum,41,152,N.A.,0,1,9.23,17.3,,3330
Liver and intrahepatic bile ducts,11,152,N.A.,0,0,4.69,8.43,,1623
Liver and intrahepatic bile ducts,11,152,N.A.,0,1,4.49,8.17,,1572
Gallbladder,12,152,N.A.,0,0,5.72,9.96,,1917
Gallbladder,12,152,N.A.,0,1,3.61,6.42,,1236
Pancreas,13,152,N.A.,0,0,5.49,9.86,,1899
Pancreas,13,152,N.A.,0,1,5.14,9.31,,1793
Larynx,14,152,N.A.,0,0,0.71,1.27,,245
Larynx,14,152,N.A.,0,1,0.46,0.85,,164
"Trachea, bronchus and lung",15,152,N.A.,0,0,12.7,22.81,,4391
"Trachea, bronchus and lung",15,152,N.A.,0,1,11.31,20.49,,3944
Melanoma of skin,16,152,N.A.,0,0,3.29,5,,962
Melanoma of skin,16,152,N.A.,0,1,0.87,1.51,,290
Mesothelioma,18,152,N.A.,0,0,0.25,0.42,,80
Mesothelioma,18,152,N.A.,0,1,0.23,0.39,,75
Kaposi sarcoma,19,152,N.A.,0,0,0.15,0.2,,39
Kaposi sarcoma,19,152,N.A.,0,1,0.08,0.1,,19
Breast,20,152,N.A.,0,0,38.23,57.82,,5640
Breast,20,152,N.A.,0,1,10.28,18.2,,1775
Vulva,21,152,N.A.,0,0,0.6,1.3,,127
Vulva,21,152,N.A.,0,1,0.27,0.66,,64
Vagina,22,152,N.A.,0,0,0.32,0.58,,57
Vagina,22,152,N.A.,0,1,0.13,0.26,,25
Cervix uteri,23,152,N.A.,0,0,11.34,15.98,,1559
Cervix uteri,23,152,N.A.,0,1,5.17,8.46,,825
Corpus uteri,24,152,N.A.,0,0,6.78,10.52,,1026
Corpus uteri,24,152,N.A.,0,1,1.66,3.16,,308
Ovary,25,152,N.A.,0,0,6.32,9.55,,932
Ovary,25,152,N.A.,0,1,3.63,5.98,,583
Penis,26,152,N.A.,0,0,0.67,1.03,,98
Penis,26,152,N.A.,0,1,0.27,0.45,,43
Prostate,27,152,N.A.,0,0,62.3,101.92,,9678
Prostate,27,152,N.A.,0,1,15.09,28.47,,2703
Testis,28,152,N.A.,0,0,7.51,8.66,,822
Testis,28,152,N.A.,0,1,0.96,1.14,,108
Kidney,29,152,N.A.,0,0,7.59,11.6,,2233
Kidney,29,152,N.A.,0,1,3.14,5.46,,1052
Bladder,30,152,N.A.,0,0,4.71,8.49,,1635
Bladder,30,152,N.A.,0,1,1.91,3.85,,742
" Brain, central nervous system",31,152,N.A.,0,0,3.05,3.78,,727
" Brain, central nervous system",31,152,N.A.,0,1,2.05,2.89,,556
Thyroid,32,152,N.A.,0,0,4.52,5.75,,1106
Thyroid,32,152,N.A.,0,1,0.46,0.88,,170
Hodgkin lymphoma,33,152,N.A.,0,0,1.3,1.51,,290
Hodgkin lymphoma,33,152,N.A.,0,1,0.3,0.45,,86
Non-Hodgkin lymphoma,34,152,N.A.,0,0,5.33,8.15,,1569
Non-Hodgkin lymphoma,34,152,N.A.,0,1,2.3,3.91,,753
Multiple myeloma,35,152,N.A.,0,0,2.73,4.6,,885
Multiple myeloma,35,152,N.A.,0,1,1.72,3.11,,599
Leukaemia,36,152,N.A.,0,0,5.96,7.44,,1432
Leukaemia,36,152,N.A.,0,1,3,4.57,,879
Other specified cancers,37,152,N.A.,0,0,5.56,8.03,,1545
Other specified cancers,37,152,N.A.,0,1,3.67,6.14,,1181
Unspecified sites,38,152,N.A.,0,0,3.78,6.78,,1306
Unspecified sites,38,152,N.A.,0,1,3.5,6.64,,1278
,20,152,,1,0,0,0,0,0
,23,152,,1,0,0,0,0,0
,24,152,,1,0,0,0,0,0
,25,152,,1,0,0,0,0,0
,26,152,,2,0,0,0,0,0
,27,152,,2,0,0,0,0,0
,28,152,,2,0,0,0,0,0
,22,152,,1,0,0,0,0,0
,21,152,,1,0,0,0,0,0
,20,152,,1,1,0,0,0,0
,23,152,,1,1,0,0,0,0
,24,152,,1,1,0,0,0,0
,25,152,,1,1,0,0,0,0
,26,152,,2,1,0,0,0,0
,27,152,,2,1,0,0,0,0
,28,152,,2,1,0,0,0,0
,22,152,,1,1,0,0,0,0
,21,152,,1,1,0,0,0,0